lat lad
1 2
3 4
5 6
-73.976318 40.682724
-73.991936 40.749622
-73.993828 40.721008
-73.959496 40.779442
-73.985573 40.747375
-73.979706 2
-73.790016 40.644058
-74.003059 2
-73.988632 40.73122
-73.999763 40.743454
-73.982033 40.783218
-74.00016 40.721786
-73.998047 40.74577
-74.005455 40.740772
-73.977806 40.76321
-73.98658 40.766548
-74.010147 40.705051
-74.009911 40.73558
-73.997772 40.756634
-73.996262 40.759922
-73.986771 40.674507
-73.996246 40.723808
-74.00325 40.74155
-74.008476 40.720203
-73.981209 40.689205
